status,duration,credit_history,purpose,credit_amount,saving_accounts,employment,investment_as_income_percentage,Personal status and sex,debtors,residence,property,age,installment_plans,housing,number_of_credits,job,dependent,telephone,foreign_worker
...<0 DM,15,Existing Credits,new car,1403,... < 100 DM,4,2,female:divorced/separated/married,none,4,car or other,28,none,rent,1,skilled employee/official,1,none,yes
...<0 DM,24,Existing Credits,radio/television,1282,100 <= ... < 500 DM,4,4,female:divorced/separated/married,none,2,car or other,32,none,own,1,unskilled-resident,1,none,yes
no checking account,24,Critical,radio/television,2424,unknown/ no savings account,7+,4,male:single,none,4,life insurance,53,none,own,2,skilled employee/official,1,none,yes
...<0 DM,30,No Credits,business,8072,unknown/ no savings account,1,2,male:single,none,3,car or other,25,bank,own,3,skilled employee/official,1,none,yes
0 <= ...<200 DM,24,Existing Credits,used car,12579,... < 100 DM,7+,4,female:divorced/separated/married,none,2,no property,44,none,free,1,highly skilled,1,yes,yes
no checking account,24,Existing Credits,radio/television,3430,500 <= ... < 1000 DM,7+,3,male:single,none,2,car or other,31,none,own,1,skilled employee/official,2,yes,yes
no checking account,9,Critical,new car,2134,... < 100 DM,4,4,male:single,none,4,car or other,48,none,own,3,skilled employee/official,1,yes,yes
...<0 DM,6,Existing Credits,radio/television,2647,500 <= ... < 1000 DM,4,2,male:single,none,3,real estate,44,none,rent,1,skilled employee/official,2,none,yes
...<0 DM,10,Critical,new car,2241,... < 100 DM,1,1,male:single,none,3,real estate,48,none,rent,2,unskilled-resident,2,none,no
0 <= ...<200 DM,12,Critical,used car,1804,100 <= ... < 500 DM,1,3,male:single,none,4,life insurance,44,none,own,1,skilled employee/official,1,none,yes
no checking account,10,Critical,furniture/equipment,2069,unknown/ no savings account,4,2,male:married/widowed,none,1,car or other,26,none,own,2,skilled employee/official,1,none,no
...<0 DM,6,Existing Credits,furniture/equipment,1374,... < 100 DM,4,1,male:single,none,2,real estate,36,bank,own,1,unskilled-resident,1,yes,yes
no checking account,6,No Credits,radio/television,426,... < 100 DM,7+,4,male:married/widowed,none,4,car or other,39,none,own,1,unskilled-resident,1,none,yes
... >= 200 DM ,12,Paid Credits,radio/television,409,.. >= 1000 DM,4,3,female:divorced/separated/married,none,3,real estate,42,none,rent,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,7,Existing Credits,radio/television,2415,... < 100 DM,4,3,male:single,guarantor,2,real estate,34,none,own,1,skilled employee/official,1,none,yes
...<0 DM,60,Delay in Past,business,6836,... < 100 DM,7+,3,male:single,none,4,no property,63,none,own,2,skilled employee/official,1,yes,yes
0 <= ...<200 DM,18,Existing Credits,business,1913,.. >= 1000 DM,1,3,male:married/widowed,none,3,real estate,36,bank,own,1,skilled employee/official,1,yes,yes
...<0 DM,24,Existing Credits,furniture/equipment,4020,... < 100 DM,4,2,male:single,none,2,car or other,27,store,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,18,Existing Credits,new car,5866,100 <= ... < 500 DM,4,2,male:single,none,2,car or other,30,none,own,2,skilled employee/official,1,yes,yes
no checking account,12,Critical,business,1264,unknown/ no savings account,7+,4,male:single,none,4,no property,57,none,rent,1,unskilled-resident,1,none,yes
... >= 200 DM ,12,Existing Credits,furniture/equipment,1474,... < 100 DM,1,4,female:divorced/separated/married,none,1,life insurance,33,bank,own,1,highly skilled,1,yes,yes
0 <= ...<200 DM,45,Critical,radio/television,4746,... < 100 DM,1,4,male:single,none,2,life insurance,25,none,own,2,unskilled-resident,1,none,yes
no checking account,48,Critical,education,6110,... < 100 DM,4,1,male:single,none,3,no property,31,bank,free,1,skilled employee/official,1,yes,yes
... >= 200 DM ,18,Existing Credits,radio/television,2100,... < 100 DM,4,4,male:single,co-applicant,2,real estate,37,store,own,1,skilled employee/official,1,none,yes
... >= 200 DM ,10,Existing Credits,domestic appliances,1225,... < 100 DM,4,2,male:single,none,2,car or other,37,none,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,9,Existing Credits,radio/television,458,... < 100 DM,4,4,male:single,none,3,real estate,24,none,own,1,skilled employee/official,1,none,yes
no checking account,30,Existing Credits,radio/television,2333,500 <= ... < 1000 DM,7+,4,male:single,none,2,car or other,30,bank,own,1,highly skilled,1,none,yes
0 <= ...<200 DM,12,Existing Credits,radio/television,1158,500 <= ... < 1000 DM,4,3,male:divorced/separated,none,1,car or other,26,none,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,18,Delay in Past,repairs,6204,... < 100 DM,4,2,male:single,none,4,real estate,44,none,own,1,unskilled-resident,2,yes,yes
...<0 DM,30,Critical,used car,6187,100 <= ... < 500 DM,7,1,male:married/widowed,none,4,car or other,24,none,rent,2,skilled employee/official,1,none,yes
...<0 DM,48,Critical,used car,6143,... < 100 DM,7+,4,female:divorced/separated/married,none,4,no property,58,store,free,2,unskilled-resident,1,none,yes
no checking account,11,Critical,new car,1393,... < 100 DM,1,4,female:divorced/separated/married,none,4,car or other,35,none,own,2,highly skilled,1,none,yes
no checking account,36,Existing Credits,radio/television,2299,500 <= ... < 1000 DM,7+,4,male:single,none,4,car or other,39,none,own,1,skilled employee/official,1,none,yes
...<0 DM,6,Existing Credits,used car,1352,500 <= ... < 1000 DM,unemployed,1,female:divorced/separated/married,none,2,life insurance,23,none,rent,1,unemployed/unskilled-non resident,1,yes,yes
no checking account,11,Critical,new car,7228,... < 100 DM,4,1,male:single,none,4,life insurance,39,none,own,2,unskilled-resident,1,none,yes
no checking account,12,Existing Credits,radio/television,2073,100 <= ... < 500 DM,4,4,female:divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,24,Delay in Past,furniture/equipment,2333,unknown/ no savings account,1,4,male:single,none,2,life insurance,29,bank,own,1,unskilled-resident,1,none,yes
0 <= ...<200 DM,27,Delay in Past,used car,5965,... < 100 DM,7+,1,male:single,none,2,car or other,30,none,own,2,highly skilled,1,yes,yes
no checking account,12,Existing Credits,radio/television,1262,... < 100 DM,4,3,male:single,none,2,car or other,25,none,own,1,skilled employee/official,1,none,yes
no checking account,18,Existing Credits,used car,3378,unknown/ no savings account,4,2,male:single,none,1,life insurance,31,none,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,36,Delay in Past,new car,2225,... < 100 DM,7+,4,male:single,none,4,no property,57,bank,free,2,skilled employee/official,1,yes,yes
no checking account,6,Paid Credits,new car,783,unknown/ no savings account,4,1,male:single,guarantor,2,real estate,26,store,own,1,unskilled-resident,2,none,yes
0 <= ...<200 DM,12,Existing Credits,radio/television,6468,unknown/ no savings account,unemployed,2,male:single,none,1,no property,52,none,own,1,highly skilled,1,yes,yes
no checking account,36,Critical,radio/television,9566,... < 100 DM,4,2,female:divorced/separated/married,none,2,car or other,31,store,own,2,skilled employee/official,1,none,yes
... >= 200 DM ,18,Existing Credits,new car,1961,... < 100 DM,7+,3,female:divorced/separated/married,none,2,car or other,23,none,own,1,highly skilled,1,none,yes
...<0 DM,36,Critical,furniture/equipment,6229,... < 100 DM,1,4,female:divorced/separated/married,co-applicant,4,no property,23,none,rent,2,unskilled-resident,1,yes,yes
0 <= ...<200 DM,9,Existing Credits,business,1391,... < 100 DM,4,2,male:married/widowed,none,1,real estate,27,bank,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,15,Critical,radio/television,1537,unknown/ no savings account,7+,4,male:single,guarantor,4,real estate,50,none,own,2,skilled employee/official,1,yes,yes
0 <= ...<200 DM,36,No Credits,business,1953,... < 100 DM,7+,4,male:single,none,4,no property,61,none,free,1,highly skilled,1,yes,yes
0 <= ...<200 DM,48,No Credits,business,14421,... < 100 DM,4,2,male:single,none,2,car or other,25,none,own,1,skilled employee/official,1,yes,yes
no checking account,24,Existing Credits,radio/television,3181,... < 100 DM,1,4,female:divorced/separated/married,none,4,life insurance,26,none,own,1,skilled employee/official,1,yes,yes
no checking account,27,Existing Credits,repairs,5190,unknown/ no savings account,7+,4,male:single,none,4,life insurance,48,none,own,4,skilled employee/official,2,yes,yes
no checking account,12,Existing Credits,radio/television,2171,... < 100 DM,1,2,female:divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,12,Existing Credits,new car,1007,.. >= 1000 DM,4,4,male:married/widowed,none,1,real estate,22,none,own,1,skilled employee/official,1,none,yes
no checking account,36,Existing Credits,education,1819,... < 100 DM,4,4,male:single,none,4,no property,37,store,free,1,skilled employee/official,1,yes,yes
no checking account,36,Existing Credits,radio/television,2394,unknown/ no savings account,4,4,female:divorced/separated/married,none,4,car or other,25,none,own,1,skilled employee/official,1,none,yes
no checking account,36,Existing Credits,used car,8133,... < 100 DM,4,1,female:divorced/separated/married,none,2,life insurance,30,bank,own,1,skilled employee/official,1,none,yes
no checking account,7,Critical,radio/television,730,unknown/ no savings account,7+,4,male:single,none,2,life insurance,46,none,rent,2,unskilled-resident,1,yes,yes
...<0 DM,8,Critical,others,1164,... < 100 DM,7+,3,male:single,none,4,no property,51,bank,free,2,highly skilled,2,yes,yes
0 <= ...<200 DM,42,Critical,business,5954,... < 100 DM,7,2,female:divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled-resident,1,none,yes
...<0 DM,36,Existing Credits,education,1977,unknown/ no savings account,7+,4,male:single,none,4,no property,40,none,own,1,highly skilled,1,yes,yes
...<0 DM,12,Critical,used car,1526,... < 100 DM,7+,4,male:single,none,4,no property,66,none,free,2,highly skilled,1,none,yes
...<0 DM,42,Existing Credits,radio/television,3965,... < 100 DM,1,4,male:single,none,3,car or other,34,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,11,Delay in Past,radio/television,4771,... < 100 DM,7,2,male:single,none,4,life insurance,51,none,own,1,skilled employee/official,1,none,yes
no checking account,54,No Credits,used car,9436,unknown/ no savings account,4,2,male:single,none,2,life insurance,39,none,own,1,unskilled-resident,2,none,yes
0 <= ...<200 DM,30,Existing Credits,furniture/equipment,3832,... < 100 DM,1,2,male:married/widowed,none,1,life insurance,22,none,own,1,skilled employee/official,1,none,yes
no checking account,24,Existing Credits,radio/television,5943,unknown/ no savings account,1,1,female:divorced/separated/married,none,1,car or other,44,none,own,2,skilled employee/official,1,yes,yes
no checking account,15,Existing Credits,radio/television,1213,500 <= ... < 1000 DM,7+,4,male:single,none,3,life insurance,47,store,own,1,skilled employee/official,1,yes,yes
no checking account,18,Existing Credits,business,1568,100 <= ... < 500 DM,4,3,female:divorced/separated/married,none,4,life insurance,24,none,rent,1,unskilled-resident,1,none,yes
...<0 DM,24,Existing Credits,others,1755,... < 100 DM,7+,4,female:divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled-resident,1,yes,yes
...<0 DM,10,Existing Credits,radio/television,2315,... < 100 DM,7+,3,male:single,none,4,real estate,52,none,own,1,unskilled-resident,1,none,yes
no checking account,12,Critical,business,1412,... < 100 DM,4,4,female:divorced/separated/married,guarantor,2,real estate,29,none,own,2,highly skilled,1,yes,yes
0 <= ...<200 DM,18,Critical,furniture/equipment,1295,... < 100 DM,1,4,female:divorced/separated/married,none,1,life insurance,27,none,own,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,36,Existing Credits,education,12612,100 <= ... < 500 DM,4,1,male:single,none,4,no property,47,none,free,1,skilled employee/official,2,yes,yes
...<0 DM,18,Existing Credits,new car,2249,100 <= ... < 500 DM,7,4,male:single,none,3,car or other,30,none,own,1,highly skilled,2,yes,yes
...<0 DM,12,No Credits,repairs,1108,... < 100 DM,7,4,male:single,none,3,real estate,28,none,own,2,skilled employee/official,1,none,yes
no checking account,12,Critical,radio/television,618,... < 100 DM,7+,4,male:single,none,4,real estate,56,none,own,1,skilled employee/official,1,none,yes
...<0 DM,12,Critical,used car,1409,... < 100 DM,7+,4,male:single,none,3,real estate,54,none,own,1,skilled employee/official,1,none,yes
no checking account,12,Critical,radio/television,797,unknown/ no savings account,7+,4,female:divorced/separated/married,none,3,life insurance,33,bank,own,1,unskilled-resident,2,none,yes
... >= 200 DM ,24,Critical,furniture/equipment,3617,unknown/ no savings account,7+,4,male:single,co-applicant,4,no property,20,none,rent,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,12,Existing Credits,new car,1318,.. >= 1000 DM,7+,4,male:single,none,4,real estate,54,none,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,54,No Credits,business,15945,... < 100 DM,1,3,male:single,none,4,no property,58,none,rent,1,skilled employee/official,1,yes,yes
no checking account,12,Critical,education,2012,unknown/ no savings account,7,4,female:divorced/separated/married,none,2,car or other,61,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,18,Existing Credits,business,2622,100 <= ... < 500 DM,4,4,male:single,none,4,car or other,34,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,36,Critical,radio/television,2337,... < 100 DM,7+,4,male:single,none,4,real estate,36,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,20,Delay in Past,used car,7057,unknown/ no savings account,7,3,male:single,none,4,life insurance,36,bank,rent,2,highly skilled,2,yes,yes
no checking account,24,Existing Credits,new car,1469,100 <= ... < 500 DM,7+,4,male:married/widowed,none,4,real estate,41,none,rent,1,unskilled-resident,1,none,yes
0 <= ...<200 DM,36,Existing Credits,radio/television,2323,... < 100 DM,7,4,male:single,none,4,car or other,24,none,rent,1,skilled employee/official,1,none,yes
no checking account,6,Delay in Past,radio/television,932,... < 100 DM,4,3,female:divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,9,Critical,furniture/equipment,1919,... < 100 DM,7,4,male:single,none,3,car or other,35,none,rent,1,skilled employee/official,1,yes,yes
no checking account,12,Existing Credits,used car,2445,unknown/ no savings account,1,2,male:married/widowed,none,4,car or other,26,none,rent,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,24,Critical,others,11938,... < 100 DM,4,2,male:single,co-applicant,3,car or other,39,none,own,2,highly skilled,2,yes,yes
no checking account,18,Paid Credits,new car,6458,... < 100 DM,7+,2,male:single,none,4,no property,39,bank,own,2,highly skilled,2,yes,yes
0 <= ...<200 DM,12,Existing Credits,new car,6078,... < 100 DM,7,2,male:single,none,2,car or other,32,none,own,1,skilled employee/official,1,none,yes
...<0 DM,24,Existing Credits,furniture/equipment,7721,unknown/ no savings account,1,1,female:divorced/separated/married,none,2,life insurance,30,none,own,1,skilled employee/official,1,yes,no
0 <= ...<200 DM,14,Existing Credits,business,1410,500 <= ... < 1000 DM,7+,1,male:married/widowed,none,2,real estate,35,none,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,6,Delay in Past,business,1449,100 <= ... < 500 DM,7+,1,male:divorced/separated,none,2,car or other,31,bank,own,2,skilled employee/official,2,none,yes
... >= 200 DM ,15,Existing Credits,education,392,... < 100 DM,1,4,female:divorced/separated/married,none,4,life insurance,23,none,rent,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,18,Existing Credits,new car,6260,... < 100 DM,7,3,male:single,none,3,real estate,28,none,rent,1,unskilled-resident,1,none,yes
no checking account,36,Critical,new car,7855,... < 100 DM,4,4,female:divorced/separated/married,none,2,real estate,25,store,own,2,skilled employee/official,1,yes,yes
...<0 DM,12,Existing Credits,radio/television,1680,500 <= ... < 1000 DM,7+,3,male:married/widowed,none,1,real estate,35,none,own,1,skilled employee/official,1,none,yes
no checking account,48,Critical,radio/television,3578,unknown/ no savings account,7+,4,male:single,none,1,real estate,47,none,own,1,skilled employee/official,1,yes,yes
...<0 DM,42,Existing Credits,radio/television,7174,unknown/ no savings account,7,4,female:divorced/separated/married,none,3,car or other,30,none,own,1,highly skilled,1,yes,yes
...<0 DM,10,Critical,furniture/equipment,2132,unknown/ no savings account,1,2,female:divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled employee/official,1,none,no
...<0 DM,33,Critical,furniture/equipment,4281,500 <= ... < 1000 DM,4,1,female:divorced/separated/married,none,4,car or other,23,none,own,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,12,Critical,new car,2366,500 <= ... < 1000 DM,7,3,male:divorced/separated,none,3,car or other,36,none,own,1,highly skilled,1,yes,yes
...<0 DM,21,Existing Credits,radio/television,1835,... < 100 DM,4,3,female:divorced/separated/married,none,2,real estate,25,none,own,2,skilled employee/official,1,yes,yes
no checking account,24,Critical,used car,3868,... < 100 DM,7+,4,female:divorced/separated/married,none,2,car or other,41,none,rent,2,highly skilled,1,yes,yes
no checking account,12,Existing Credits,furniture/equipment,1768,... < 100 DM,4,3,male:single,none,2,real estate,24,none,rent,1,unskilled-resident,1,none,yes
... >= 200 DM ,10,Critical,new car,781,... < 100 DM,7+,4,male:single,none,4,no property,63,none,free,2,skilled employee/official,1,yes,yes
0 <= ...<200 DM,18,Existing Credits,furniture/equipment,1924,unknown/ no savings account,1,4,female:divorced/separated/married,none,3,real estate,27,none,rent,1,skilled employee/official,1,none,yes
...<0 DM,12,Critical,new car,2121,... < 100 DM,4,4,male:single,none,2,life insurance,30,none,own,2,skilled employee/official,1,none,yes
...<0 DM,12,Existing Credits,radio/television,701,... < 100 DM,4,4,male:married/widowed,none,2,real estate,40,none,own,1,unskilled-resident,1,none,yes
0 <= ...<200 DM,12,Existing Credits,repairs,639,... < 100 DM,4,4,male:single,none,2,car or other,30,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,12,Critical,used car,1860,... < 100 DM,unemployed,4,male:single,none,2,car or other,34,none,own,2,highly skilled,1,yes,yes
...<0 DM,12,Critical,new car,3499,... < 100 DM,4,3,female:divorced/separated/married,co-applicant,2,real estate,29,none,own,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,48,Existing Credits,new car,8487,unknown/ no savings account,7,1,female:divorced/separated/married,none,2,car or other,24,none,own,1,skilled employee/official,1,none,yes
...<0 DM,36,Delay in Past,education,6887,... < 100 DM,4,4,male:single,none,3,life insurance,29,store,own,1,skilled employee/official,1,yes,yes
no checking account,15,Existing Credits,furniture/equipment,2708,... < 100 DM,1,2,male:single,none,3,life insurance,27,bank,own,2,unskilled-resident,1,none,yes
no checking account,18,Existing Credits,furniture/equipment,1984,... < 100 DM,4,4,male:single,none,4,no property,47,bank,free,2,skilled employee/official,1,none,yes
no checking account,60,Existing Credits,radio/television,10144,100 <= ... < 500 DM,7,2,female:divorced/separated/married,none,4,real estate,21,none,own,1,skilled employee/official,1,yes,yes
no checking account,12,Critical,radio/television,1240,unknown/ no savings account,7+,4,female:divorced/separated/married,none,2,real estate,38,none,own,2,skilled employee/official,1,yes,yes
no checking account,27,Delay in Past,used car,8613,.. >= 1000 DM,4,2,male:single,none,2,car or other,27,none,own,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,12,Existing Credits,radio/television,766,500 <= ... < 1000 DM,4,4,male:single,none,3,real estate,66,none,own,1,unskilled-resident,1,none,yes
0 <= ...<200 DM,15,Critical,radio/television,2728,unknown/ no savings account,7,4,male:single,guarantor,2,real estate,35,bank,own,3,skilled employee/official,1,yes,yes
... >= 200 DM ,12,Existing Credits,radio/television,1881,... < 100 DM,4,2,female:divorced/separated/married,none,2,car or other,44,none,rent,1,unskilled-resident,1,yes,yes
... >= 200 DM ,6,Existing Credits,new car,709,.. >= 1000 DM,1,2,male:married/widowed,none,2,real estate,27,none,own,1,unemployed/unskilled-non resident,1,none,no
0 <= ...<200 DM,36,Existing Credits,radio/television,4795,... < 100 DM,1,4,female:divorced/separated/married,none,1,no property,30,none,own,1,highly skilled,1,yes,yes
...<0 DM,27,Existing Credits,radio/television,3416,... < 100 DM,4,3,male:single,none,2,car or other,27,none,own,1,highly skilled,1,none,yes
...<0 DM,18,Existing Credits,furniture/equipment,2462,... < 100 DM,4,2,male:single,none,2,car or other,22,none,own,1,skilled employee/official,1,none,yes
no checking account,21,Critical,furniture/equipment,2288,... < 100 DM,1,4,female:divorced/separated/married,none,4,life insurance,23,none,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,48,Paid Credits,business,3566,100 <= ... < 500 DM,7,4,male:single,none,2,car or other,30,none,own,1,skilled employee/official,1,none,yes
...<0 DM,6,Critical,new car,860,... < 100 DM,7+,1,female:divorced/separated/married,none,4,no property,39,none,own,2,skilled employee/official,1,yes,yes
no checking account,12,Critical,new car,682,100 <= ... < 500 DM,7,4,female:divorced/separated/married,none,3,car or other,51,none,own,2,skilled employee/official,1,yes,yes
...<0 DM,36,Critical,furniture/equipment,5371,... < 100 DM,4,3,male:single,guarantor,2,life insurance,28,none,own,2,skilled employee/official,1,none,yes
no checking account,18,Critical,radio/television,1582,.. >= 1000 DM,7+,4,male:single,none,4,car or other,46,none,own,2,skilled employee/official,1,none,yes
no checking account,6,Existing Credits,radio/television,1346,100 <= ... < 500 DM,7+,2,male:single,none,4,no property,42,bank,free,1,skilled employee/official,2,yes,yes
no checking account,10,Existing Credits,radio/television,1924,... < 100 DM,4,1,male:single,none,4,life insurance,38,none,own,1,skilled employee/official,1,yes,no
... >= 200 DM ,36,Existing Credits,radio/television,5848,... < 100 DM,4,4,male:single,none,1,car or other,24,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,24,Critical,used car,7758,.. >= 1000 DM,7+,2,female:divorced/separated/married,none,4,no property,29,none,rent,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,24,Delay in Past,business,6967,100 <= ... < 500 DM,7,4,male:single,none,4,car or other,36,none,rent,1,highly skilled,1,yes,yes
...<0 DM,12,Existing Credits,furniture/equipment,1282,... < 100 DM,4,2,female:divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee/official,1,none,yes
...<0 DM,9,Critical,repairs,1288,100 <= ... < 500 DM,7+,3,male:single,guarantor,4,real estate,48,none,own,2,skilled employee/official,2,none,no
...<0 DM,12,Paid Credits,retraining,339,... < 100 DM,7+,4,male:married/widowed,none,1,car or other,45,bank,own,1,unskilled-resident,1,none,yes
0 <= ...<200 DM,24,Existing Credits,new car,3512,100 <= ... < 500 DM,7,2,male:single,none,3,car or other,38,bank,own,2,skilled employee/official,1,yes,yes
no checking account,6,Critical,radio/television,1898,unknown/ no savings account,4,1,male:single,none,2,real estate,34,none,own,2,unskilled-resident,2,none,yes
no checking account,24,Critical,radio/television,2872,100 <= ... < 500 DM,7+,3,male:single,none,4,real estate,36,none,own,1,skilled employee/official,2,yes,yes
no checking account,18,Critical,new car,1055,... < 100 DM,1,4,female:divorced/separated/married,none,1,life insurance,30,none,own,2,skilled employee/official,1,none,yes
no checking account,15,Existing Credits,domestic appliances,1262,500 <= ... < 1000 DM,7,4,male:single,none,3,life insurance,36,none,own,2,skilled employee/official,1,yes,yes
0 <= ...<200 DM,10,Existing Credits,new car,7308,... < 100 DM,unemployed,2,male:single,none,4,no property,70,bank,free,1,highly skilled,1,yes,yes
no checking account,36,Existing Credits,new car,909,500 <= ... < 1000 DM,7+,4,male:single,none,4,life insurance,36,none,own,1,skilled employee/official,1,none,yes
no checking account,6,Existing Credits,furniture/equipment,2978,500 <= ... < 1000 DM,4,1,male:single,none,2,car or other,32,none,own,1,skilled employee/official,1,yes,yes
...<0 DM,18,Existing Credits,furniture/equipment,1131,... < 100 DM,unemployed,4,female:divorced/separated/married,none,2,car or other,33,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,11,Existing Credits,furniture/equipment,1577,.. >= 1000 DM,1,4,female:divorced/separated/married,none,1,real estate,20,none,own,1,skilled employee/official,1,none,yes
no checking account,24,Existing Credits,furniture/equipment,3972,... < 100 DM,7,2,female:divorced/separated/married,none,4,life insurance,25,none,rent,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,24,Critical,business,1935,... < 100 DM,7+,4,male:divorced/separated,none,4,real estate,31,none,own,2,skilled employee/official,1,yes,yes
...<0 DM,15,No Credits,new car,950,... < 100 DM,7+,4,male:single,none,3,car or other,33,none,rent,2,skilled employee/official,2,none,yes
no checking account,12,Existing Credits,furniture/equipment,763,... < 100 DM,4,4,female:divorced/separated/married,none,1,real estate,26,none,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,24,Delay in Past,furniture/equipment,2064,... < 100 DM,unemployed,3,female:divorced/separated/married,none,2,life insurance,34,none,own,1,highly skilled,1,yes,yes
0 <= ...<200 DM,8,Existing Credits,radio/television,1414,... < 100 DM,4,4,male:single,guarantor,2,real estate,33,none,own,1,skilled employee/official,1,none,no
...<0 DM,21,Delay in Past,education,3414,... < 100 DM,1,2,male:single,none,1,life insurance,26,none,own,2,skilled employee/official,1,none,yes
no checking account,30,Paid Credits,used car,7485,unknown/ no savings account,unemployed,4,female:divorced/separated/married,none,1,real estate,53,bank,own,1,highly skilled,1,yes,yes
...<0 DM,12,Existing Credits,furniture/equipment,2577,... < 100 DM,4,2,male:divorced/separated,none,1,car or other,42,none,own,1,skilled employee/official,1,none,yes
...<0 DM,6,Critical,radio/television,338,500 <= ... < 1000 DM,7+,4,male:single,none,4,car or other,52,none,own,2,skilled employee/official,1,none,yes
no checking account,12,Existing Credits,radio/television,1963,... < 100 DM,7,4,male:single,none,2,car or other,31,none,rent,2,highly skilled,2,yes,yes
...<0 DM,21,Critical,new car,571,... < 100 DM,7+,4,male:single,none,4,real estate,65,none,own,2,skilled employee/official,1,none,yes
no checking account,36,Delay in Past,business,9572,... < 100 DM,1,1,male:divorced/separated,none,1,car or other,28,none,own,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,36,Delay in Past,business,4455,... < 100 DM,4,2,male:divorced/separated,none,2,real estate,30,store,own,2,highly skilled,1,yes,yes
